order_id,date,time,cust_id
1,2015-01-01,11:38:36,312
2,2015-01-01,11:57:40,311
3,2015-01-01,12:12:28,272
4,2015-01-01,12:16:31,327
5,2015-01-01,12:21:30,345
6,2015-01-01,12:29:36,105
7,2015-01-01,12:50:37,11
8,2015-01-01,12:51:37,313
9,2015-01-01,12:52:01,172
10,2015-01-01,13:00:15,226
11,2015-01-01,13:02:59,213
12,2015-01-01,13:04:41,203
13,2015-01-01,13:11:55,179
14,2015-01-01,13:14:19,55
15,2015-01-01,13:33:00,6
16,2015-01-01,13:34:07,218
17,2015-01-01,13:53:00,323
18,2015-01-01,13:57:08,278
19,2015-01-01,13:59:09,193
20,2015-01-01,14:03:08,70
21,2015-01-01,14:14:29,15
22,2015-01-01,14:16:26,224
23,2015-01-01,14:19:03,207
24,2015-01-01,14:23:01,181
25,2015-01-01,14:44:44,310
26,2015-01-01,14:54:26,296
27,2015-01-01,15:11:17,170
28,2015-01-01,15:35:46,14
29,2015-01-01,15:41:01,198
30,2015-01-01,15:41:25,30
31,2015-01-01,15:50:18,225
32,2015-01-01,15:53:18,206
33,2015-01-01,15:54:08,68
34,2015-01-01,16:21:21,91
35,2015-01-01,16:32:04,291
36,2015-01-01,16:54:09,34
37,2015-01-01,16:56:09,4
38,2015-01-01,17:03:00,173
39,2015-01-01,17:07:23,196
40,2015-01-01,17:14:36,238
41,2015-01-01,17:15:20,205
42,2015-01-01,17:28:09,196
43,2015-01-01,17:38:34,54
44,2015-01-01,17:54:20,348
45,2015-01-01,17:55:48,210
46,2015-01-01,18:25:51,217
47,2015-01-01,18:26:34,316
48,2015-01-01,18:26:42,183
49,2015-01-01,18:33:00,314
50,2015-01-01,18:41:01,64
51,2015-01-01,18:48:28,55
52,2015-01-01,18:53:02,307
53,2015-01-01,18:54:17,211
54,2015-01-01,19:01:45,277
55,2015-01-01,19:03:19,279
56,2015-01-01,19:07:00,323
57,2015-01-01,19:10:51,60
58,2015-01-01,19:30:40,193
59,2015-01-01,19:40:08,84
60,2015-01-01,20:05:16,48
61,2015-01-01,20:08:43,78
62,2015-01-01,20:50:16,308
63,2015-01-01,20:51:42,171
64,2015-01-01,20:52:08,104
65,2015-01-01,21:16:00,188
66,2015-01-01,21:47:55,222
67,2015-01-01,22:03:40,75
68,2015-01-01,22:07:32,291
69,2015-01-01,22:12:13,159
70,2015-01-02,11:38:51,22
71,2015-01-02,11:40:50,46
72,2015-01-02,11:57:25,64
73,2015-01-02,11:58:56,131
74,2015-01-02,12:01:12,266
75,2015-01-02,12:10:15,149
76,2015-01-02,12:21:17,186
77,2015-01-02,12:22:46,146
78,2015-01-02,12:28:14,197
79,2015-01-02,12:29:11,128
80,2015-01-02,12:35:38,119
81,2015-01-02,12:40:01,229
82,2015-01-02,12:45:51,103
83,2015-01-02,12:53:27,346
84,2015-01-02,13:13:41,279
85,2015-01-02,13:34:49,299
86,2015-01-02,13:40:31,72
87,2015-01-02,14:01:02,108
88,2015-01-02,14:10:08,191
89,2015-01-02,14:30:19,333
90,2015-01-02,15:08:48,67
91,2015-01-02,15:14:43,328
92,2015-01-02,15:17:02,221
93,2015-01-02,15:29:31,232
94,2015-01-02,16:17:16,18
95,2015-01-02,16:18:04,191
96,2015-01-02,16:21:20,190
97,2015-01-02,16:45:33,25
98,2015-01-02,17:18:18,182
99,2015-01-02,17:45:42,298
100,2015-01-02,17:46:17,32
101,2015-01-02,17:51:33,96
102,2015-01-02,17:54:04,209
103,2015-01-02,18:02:09,15
104,2015-01-02,18:02:12,263
105,2015-01-02,18:12:01,73
106,2015-01-02,18:12:13,7
107,2015-01-02,18:25:09,283
108,2015-01-02,18:25:25,31
109,2015-01-02,18:27:50,164
110,2015-01-02,18:36:19,218
111,2015-01-02,18:38:01,200
112,2015-01-02,18:41:40,133
113,2015-01-02,18:50:21,144
114,2015-01-02,18:59:32,330
115,2015-01-02,19:05:17,125
116,2015-01-02,19:18:49,97
117,2015-01-02,19:23:02,143
118,2015-01-02,19:26:59,35
119,2015-01-02,19:32:29,192
120,2015-01-02,19:35:07,106
121,2015-01-02,19:38:48,267
122,2015-01-02,19:50:19,127
123,2015-01-02,20:12:09,27
124,2015-01-02,20:12:34,252
125,2015-01-02,20:31:06,244
126,2015-01-02,20:53:42,158
127,2015-01-02,20:58:23,131
128,2015-01-02,21:05:06,143
129,2015-01-02,21:13:02,62
130,2015-01-02,21:14:55,120
131,2015-01-02,21:33:10,335
132,2015-01-02,21:42:45,237
133,2015-01-02,22:00:17,21
134,2015-01-02,22:13:24,31
135,2015-01-02,22:29:34,71
136,2015-01-02,22:32:49,241
137,2015-01-03,11:34:10,261
138,2015-01-03,11:44:50,92
139,2015-01-03,11:57:39,27
140,2015-01-03,12:26:44,148
141,2015-01-03,13:16:01,301
142,2015-01-03,13:33:59,55
143,2015-01-03,13:41:36,143
144,2015-01-03,13:44:28,93
145,2015-01-03,13:53:48,126
146,2015-01-03,14:22:10,226
147,2015-01-03,14:32:51,270
148,2015-01-03,14:40:42,18
149,2015-01-03,14:48:45,125
150,2015-01-03,14:49:58,32
151,2015-01-03,15:09:34,96
152,2015-01-03,15:09:42,30
153,2015-01-03,15:16:34,39
154,2015-01-03,15:22:43,167
155,2015-01-03,15:28:59,26
156,2015-01-03,15:42:19,57
157,2015-01-03,15:43:03,153
158,2015-01-03,15:54:30,119
159,2015-01-03,15:59:22,4
160,2015-01-03,16:35:33,209
161,2015-01-03,16:43:46,283
162,2015-01-03,16:51:22,174
163,2015-01-03,16:54:54,341
164,2015-01-03,16:56:33,31
165,2015-01-03,16:57:37,64
166,2015-01-03,16:58:51,199
167,2015-01-03,17:00:49,188
168,2015-01-03,17:02:27,83
169,2015-01-03,17:15:48,65
170,2015-01-03,17:21:31,178
171,2015-01-03,17:23:03,6
172,2015-01-03,17:29:24,141
173,2015-01-03,17:35:30,265
174,2015-01-03,17:37:49,53
175,2015-01-03,17:50:51,342
176,2015-01-03,17:51:57,341
177,2015-01-03,17:54:36,110
178,2015-01-03,18:15:03,56
179,2015-01-03,18:20:14,188
180,2015-01-03,18:33:34,303
181,2015-01-03,18:49:32,25
182,2015-01-03,18:50:10,91
183,2015-01-03,18:54:55,77
184,2015-01-03,18:59:05,37
185,2015-01-03,19:08:33,68
186,2015-01-03,19:36:00,85
187,2015-01-03,19:37:12,264
188,2015-01-03,20:08:39,14
189,2015-01-03,20:12:14,196
190,2015-01-03,20:14:23,220
191,2015-01-03,20:24:50,156
192,2015-01-03,20:30:08,31
193,2015-01-03,20:55:47,15
194,2015-01-03,21:21:24,88
195,2015-01-03,21:25:20,84
196,2015-01-03,21:40:14,290
197,2015-01-03,21:47:48,223
198,2015-01-03,21:55:42,51
199,2015-01-03,22:10:38,306
200,2015-01-03,22:24:05,181
201,2015-01-03,22:29:59,311
202,2015-01-03,22:50:29,344
203,2015-01-04,11:30:48,288
204,2015-01-04,11:36:25,25
205,2015-01-04,11:43:54,242
206,2015-01-04,11:45:10,81
207,2015-01-04,12:03:58,247
208,2015-01-04,12:12:05,75
209,2015-01-04,12:29:17,160
210,2015-01-04,12:34:13,313
211,2015-01-04,12:54:20,335
212,2015-01-04,13:16:03,270
213,2015-01-04,13:20:39,187
214,2015-01-04,13:39:16,160
215,2015-01-04,13:44:49,182
216,2015-01-04,14:31:56,210
217,2015-01-04,14:35:03,197
218,2015-01-04,14:35:11,316
219,2015-01-04,14:42:01,302
220,2015-01-04,15:31:59,45
221,2015-01-04,15:33:18,121
222,2015-01-04,15:46:38,307
223,2015-01-04,16:08:20,4
224,2015-01-04,16:39:58,114
225,2015-01-04,16:41:48,344
226,2015-01-04,16:59:39,207
227,2015-01-04,17:24:39,88
228,2015-01-04,17:31:24,82
229,2015-01-04,17:37:57,31
230,2015-01-04,17:58:38,284
231,2015-01-04,18:04:18,294
232,2015-01-04,18:21:59,207
233,2015-01-04,18:26:51,285
234,2015-01-04,18:36:09,306
235,2015-01-04,18:51:30,1
236,2015-01-04,19:21:04,115
237,2015-01-04,19:27:48,142
238,2015-01-04,19:45:15,183
239,2015-01-04,19:57:52,46
240,2015-01-04,20:10:24,116
